Line_descr;Line_encoding;Category
703-ΠΕΙΡΑΙΑΣ-ΑΓ.ΑΝΑΡΓΥΡΟΙ-ΑΓ.ΕΛΕΥΘΕΡΙΟΣ(ΜΕΣΩΘΗΒΩΝ);74;4
704-ΚΑΜΑΤΕΡΟ-ΠΛ.ΑΓ.ΑΝΑΡΓΥΡΩΝ(ΚΥΚΛΙΚΗ);75;2
705-ΚΑΜΑΤΕΡΟ-ΙΛΙΟΝ-ΠΛ.ΑΓ.ΑΝΑΡΓΥΡΩΝ-ΣΤ.ΑΝΘΟΥΠΟΛΗ(ΚΥΚΛΙΚΗ);158;2
711-ΣΤ.ΑΤΤΙΚΗ-ΖΩΦΡΙΑ;76;2
719-ΚΗΠΟΥΠΟΛΗ-ΠΑΛΑΤΙΑΝΗ-ΣΤ.ΛΑΡΙΣΗΣ(ΚΥΚΛΙΚΗ);160;0
720-ΑΝΑΚΑΣΑ-ΑΓ.ΑΝΑΡΓΥΡΟΙ-ΣΤ.ΑΤΤΙΚΗ(ΚΥΚΛΙΚΗ);77;2
730-ΛΟΦΟΣΑΞΙΩΜΑΤΙΚΩΝ-ΣΤ.ΑΓ.ΑΝΤΩΝΙΟΣ-ΖΩΟΔ.ΠΗΓΗ;78;2
731-ΑΝΘΟΥΠΟΛΗ-ΣΤ.Μ.ΑΝΘΟΥΠΟΛΗ-ΑΤΤΙΚΟΝΟΣ.-ΔΑΣΟΣ;79;2
732-ΙΛΙΟΝ-ΑΓ.ΦΑΝΟΥΡΙΟΣ-ΑΚΑΔΗΜΙΑ(ΚΥΚΛΙΚΗ);225;1
733-ΑΧΑΡΝΑΙ-ΑΝΩΛΙΟΣΙΑ(ΚΥΚΛΙΚΗ);227;2
747-ΠΕΤΡΟΥΠΟΛΗ-ΠΑΝΟΡΑΜΑ-ΣΤ.ΑΝΘΟΥΠΟΛΗ(ΚΥΚΛΙΚΗ);81;2
748-ΧΡΥΣΟΥΠΟΛΗ-ΑΝΘΟΥΠΟΛΗ-ΣΤ.ΠΕΡΙΣΤΕΡΙ(ΚΥΚΛΙΚΗ);183;2
750-ΑΤΤΙΚΟΝΟΣΟΚΟΜΕΙΟ-ΣΤ.ΜΕΤΡΟΑΙΓΑΛΕΩ-ΝΙΚΑΙΑ;82;4
755-ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣΜΥΛΟΣ-ΣΤ.ΚΑΤΩΠΑΤΗΣΙΑ(ΚΥΚΛΙΚΗ);83;2
755Β-ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣΜΥΛΟΣ-ΣΤ.ΚΑΤΩΠΑΤΗΣΙΑ(ΚΥΚΛΙΚΗΜΕΣΩΧΑΡΑΥΓΗΣ);228;2
790-ΓΛΥΦΑΔΑ-ΠΕΡΙΣΤΕΡΙ(ΑΓ.ΑΝΤΩΝΙΟΣ)ΝΥΧΤΕΡΙΝΗ;332;5
800-ΝΙΚΑΙΑ-ΣΤ.ΝΙΚΑΙΑ(ΚΥΚΛΙΚΗ);161;0
801-ΠΕΙΡΑΙΑΣ-ΠΑΛΑΣΚΑ;237;5
803-ΠΕΙΡΑΙΑΣ-ΔΑΣΟΣΧΑΪΔΑΡΙΟΥ;84;0
806-ΣΧΙΣΤΟ-ΚΑΡΑΒΑΣ-ΣΤ.ΚΟΡΥΔΑΛΛΟΣ(ΚΥΚΛΙΚΗ);85;2
807-ΑΝΩΚΟΡΥΔΑΛΛΟΣ-ΣΤ.ΜΕΤΡΟΑΙΓΑΛΕΩ(ΚΥΚΛΙΚΗ);86;2
809-ΣΧΙΣΤO-ΣΤ.ΝΙΚΑΙΑ-ΣΤ.ΚΟΡΥΔΑΛΛΟΣ(ΚΥΚΛΙΚΗ);87;0
810-ΣΧΙΣΤΟ-ΣΤ.ΚΟΡΥΔΑΛΛΟΣ(ΚΥΚΛΙΚΗ);278;2
811-ΧΑΪΔΑΡΙ-ΣΤ.ΑΓΙΑΜΑΡΙΝΑ(ΚΥΚΛΙΚΗ);89;2
