stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
10047,10047,ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ,37.9868101,23.6648935,http://telematics.oasa.gr/#stationInfo_10047
10048,10048,ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ,37.9876705,23.6663326,http://telematics.oasa.gr/#stationInfo_10048
10049,10049,ΣΙΦΝΟΥ,37.9862913,23.6630592,http://telematics.oasa.gr/#stationInfo_10049
10053,10053,ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ,37.9875341,23.6665729,http://telematics.oasa.gr/#stationInfo_10053
10054,10054,ΣΤΕΦ. ΣΑΡΑΦΗ,37.9931352,23.6579144,http://telematics.oasa.gr/#stationInfo_10054
10056,10056,ΓΕΦΥΡΑ,37.9902589,23.657495,http://telematics.oasa.gr/#stationInfo_10056
10057,10057,ΚΥΠΡΟΥ,37.9944623,23.6581063,http://telematics.oasa.gr/#stationInfo_10057
10058,10058,ΑΣΤΥΝΟΜΙΑ,37.9913318,23.6576494,http://telematics.oasa.gr/#stationInfo_10058
10060,10060,ΑΣΤΟΡΙΑ,37.9875298,23.6550479,http://telematics.oasa.gr/#stationInfo_10060
10062,10062,ΛΥΚΟΥΡΓΟΥ,37.9918283,23.6579204,http://telematics.oasa.gr/#stationInfo_10062
10065,10065,ΜΕΓ. ΑΛΕΞΑΝΔΡΟΥ,37.9875213,23.6583162,http://telematics.oasa.gr/#stationInfo_10065
10066,10066,ΔΙΑΚΟΥ,37.9920595,23.650699,http://telematics.oasa.gr/#stationInfo_10066
10067,10067,ΧΙΟΥ,37.9936725,23.6536639,http://telematics.oasa.gr/#stationInfo_10067
10069,10069,ΚΟΥΝΤΟΥΡΙΩΤΗ,37.9873824,23.6570187,http://telematics.oasa.gr/#stationInfo_10069
10070,10070,ΠΡΟΦ. ΗΛΙΑΣ,37.9935412,23.6519334,http://telematics.oasa.gr/#stationInfo_10070
10071,10071,ΧΙΟΥ,37.9927615,23.6564811,http://telematics.oasa.gr/#stationInfo_10071
10072,10072,ΠΡΟΦ. ΗΛΙΑΣ,37.993201,23.652698,http://telematics.oasa.gr/#stationInfo_10072
10074,10074,ΣΩΚΡΑΤΟΥΣ,37.9941916,23.6554723,http://telematics.oasa.gr/#stationInfo_10074
10075,10075,ΑΘ. ΔΙΑΚΟΥ,37.9920801,23.6515645,http://telematics.oasa.gr/#stationInfo_10075
10078,10078,ΠΑΡΚΟ ΕΛΕΝΗΣ ΦΩΚΑ,37.9857648,23.6586546,http://telematics.oasa.gr/#stationInfo_10078
10079,10079,7η ΚΟΡΥΔΑΛΛΟΥ,37.9878408,23.6597041,http://telematics.oasa.gr/#stationInfo_10079
10081,10081,ΚΡΗΤΗ,37.9906655,23.6578461,http://telematics.oasa.gr/#stationInfo_10081
10085,10085,ΣΤ. ΑΓ. ΜΑΡΙΝΑ,37.9973809,23.6674595,http://telematics.oasa.gr/#stationInfo_10085
10086,10086,ΑΦΕΤΗΡΙΑ,37.9861007,23.6626046,http://telematics.oasa.gr/#stationInfo_10086
10087,10087,ΚΥΠΡΟΥ,37.9931399,23.6595315,http://telematics.oasa.gr/#stationInfo_10087
10152,1,ΚΑΙΣΑΡΙΑΝΗ,37.964857,23.7763875,http://telematics.oasa.gr/#stationInfo_10152
10153,2,ΤΕΡΜΑ ΕΛ. ΒΕΝΙΖΕΛΟΥ,37.9981015,23.757595,http://telematics.oasa.gr/#stationInfo_10153
10156,3,ΕΛΕΥΣΙΝΑΣ,38.035942,23.5399225,http://telematics.oasa.gr/#stationInfo_10156
10157,4,ΠΛ. ΚΟΥΜΟΥΝΔΟΥΡΟΥ,37.980123,23.7218305,http://telematics.oasa.gr/#stationInfo_10157
10159,6,ΣΤΑΘΜΟΣ ΚΑΤΕΧΑΚΗ,37.9935675,23.7771655,http://telematics.oasa.gr/#stationInfo_10159
10161,8,Ζ. ΠΗΓΗ,37.953709,23.7589485,http://telematics.oasa.gr/#stationInfo_10161
