veh_no,vehtyp_code,vehtyp_capacity,vehtyp_full_limit
70202,4,59,56
70203,4,59,56
70204,4,59,56
70205,4,59,56
70206,4,59,56
70207,4,59,56
70208,4,59,56
70209,4,59,56
70210,4,59,56
70211,4,59,56
70212,4,59,56
70213,4,59,56
70214,4,59,56
70215,4,59,56
70216,4,59,56
70217,4,59,56
70218,4,59,56
70220,4,59,56
70673,4,59,56
70674,4,59,56
70675,4,59,56
70677,4,59,56
70679,4,59,56
100600,2,,
100603,2,,
100606,2,,
100611,2,,
100612,2,,
100614,2,,
100615,2,,
100617,2,,
100618,2,,
100620,2,,
100621,2,,
100625,2,,
100632,2,,
100633,2,,
100635,2,,
100636,2,,
100639,2,,
100640,2,,
100641,2,,
100642,2,,
100645,2,,
100646,2,,
100647,2,,
100648,2,,
10227,3,58,55
10254,3,58,55
10255,3,58,55
10269,3,58,55
10272,3,58,55
10280,3,58,55
10283,3,58,55
10292,3,58,55
10296,3,58,55
10300,3,58,55
10305,3,58,55
10306,3,58,55
10307,3,58,55
10308,3,58,55
10309,3,58,55
10327,3,58,55
10328,3,58,55
10330,3,58,55
10331,3,58,55
10332,3,58,55
10333,3,58,55
10336,3,58,55
10340,3,58,55
10342,3,58,55
10343,3,58,55
10350,3,58,55
10357,3,58,55
10358,3,58,55
10363,3,58,55
10364,3,58,55
10365,3,58,55
10366,3,58,55
10367,3,58,55
10371,3,58,55
10372,3,58,55
10373,3,58,55
10374,3,58,55
10380,3,58,55
10381,3,58,55
10384,3,58,55
10387,3,58,55
10389,3,58,55
10390,3,58,55
10392,3,58,55
10394,3,58,55
10395,3,58,55
10397,3,58,55
10399,3,58,55
10400,3,58,55
10402,3,58,55
10407,3,58,55
10409,3,58,55
10410,3,58,55
10413,3,58,55
10419,3,58,55
20257,3,58,55
30241,3,58,55
30246,3,58,55
30252,3,58,55
30265,3,58,55
30270,3,58,55
30282,3,58,55
30287,3,58,55
30295,3,58,55
30299,3,58,55
30301,3,58,55
30302,3,58,55
60242,3,58,55
60260,3,58,55
60291,3,58,55
10541,6,102,97
10542,6,102,97
10544,6,102,97
10546,6,102,97
10547,6,102,97
10548,6,102,97
10550,6,102,97
10551,6,102,97
10552,6,102,97
10553,6,102,97
10554,6,102,97
10555,6,102,97
10556,6,102,97
10557,6,102,97
10558,6,102,97
10559,6,102,97
10560,6,102,97
10561,6,102,97
10562,6,102,97
10563,6,102,97
10564,6,102,97
10565,6,102,97
10566,6,102,97
10567,6,102,97
10569,6,102,97
10570,6,102,97
10573,6,102,97
10575,6,102,97
10576,6,102,97
10578,6,102,97
10579,6,102,97
10581,6,102,97
10582,6,102,97
10583,6,102,97
10586,6,102,97
10587,6,102,97
10588,6,102,97
10590,6,102,97
10591,6,102,97
10592,6,102,97
10593,6,102,97
10594,6,102,97
10595,6,102,97
10596,6,102,97
10597,6,102,97
10598,6,102,97
10599,6,102,97
10600,6,102,97
10602,6,102,97
10603,6,102,97
10611,6,102,97
10612,6,102,97
10613,6,102,97
10614,6,102,97
10616,6,102,97
10625,6,102,97
10634,6,102,97
10642,6,102,97
10643,6,102,97
10644,6,102,97
10647,6,102,97
10648,6,102,97
10649,6,102,97
10650,6,102,97
10651,6,102,97
10657,6,102,97
10668,6,102,97
10671,6,102,97
10683,6,102,97
10688,6,102,97
10692,6,102,97
10696,6,102,97
10697,6,102,97
10711,6,102,97
10727,6,102,97
10728,6,102,97
10729,6,102,97
40662,6,102,97
50626,6,102,97
50627,6,102,97
50629,6,102,97
50630,6,102,97
50632,6,102,97
50633,6,102,97
50635,6,102,97
50636,6,102,97
50639,6,102,97
50640,6,102,97
50641,6,102,97
50645,6,102,97
50646,6,102,97
50655,6,102,97
50656,6,102,97
50658,6,102,97
50659,6,102,97
50661,6,102,97
50663,6,102,97
50664,6,102,97
50665,6,102,97
50666,6,102,97
50667,6,102,97
50672,6,102,97
50673,6,102,97
50674,6,102,97
50675,6,102,97
50677,6,102,97
50678,6,102,97
50679,6,102,97
50680,6,102,97
50681,6,102,97
50682,6,102,97
50685,6,102,97
50689,6,102,97
50693,6,102,97
50694,6,102,97
50695,6,102,97
50698,6,102,97
50699,6,102,97
50700,6,102,97
50701,6,102,97
50703,6,102,97
50705,6,102,97
50706,6,102,97
50707,6,102,97
50709,6,102,97
50710,6,102,97
50712,6,102,97
50713,6,102,97
50715,6,102,97
50717,6,102,97
50719,6,102,97
50720,6,102,97
50721,6,102,97
50723,6,102,97
50724,6,102,97
50725,6,102,97
50726,6,102,97
61604,6,102,97
61606,6,102,97
61615,6,102,97
61617,6,102,97
61618,6,102,97
61620,6,102,97
61621,6,102,97
61622,6,102,97
10730,7,89,85
10732,7,89,85
10733,7,89,85
10735,7,89,85
10736,7,89,85
10737,7,89,85
10738,7,89,85
10739,7,89,85
10740,7,89,85
10741,7,89,85
10742,7,89,85
10743,7,89,85
10744,7,89,85
10745,7,89,85
10746,7,89,85
10747,7,89,85
10748,7,89,85
10749,7,89,85
10802,5,103,98
10805,5,103,98
10806,5,103,98
10808,5,103,98
10812,5,103,98
10813,5,103,98
10948,5,103,98
10950,5,103,98
10953,5,103,98
10954,5,103,98
10955,5,103,98
10956,5,103,98
10957,5,103,98
10958,5,103,98
10959,5,103,98
10961,5,103,98
10962,5,103,98
10963,5,103,98
10964,5,103,98
10966,5,103,98
10967,5,103,98
10968,5,103,98
10969,5,103,98
10970,5,103,98
10971,5,103,98
10972,5,103,98
10974,5,103,98
10975,5,103,98
200219Π,5,103,98
500347,5,103,98
50176,5,103,98
50180,5,103,98
50181,5,103,98
50182,5,103,98
50184,5,103,98
50185,5,103,98
50188,5,103,98
50190,5,103,98
50191,5,103,98
50212,5,103,98
50214,5,103,98
50215,5,103,98
50216,5,103,98
50217,5,103,98
50218,5,103,98
50221,5,103,98
50223,5,103,98
50224,5,103,98
50226,5,103,98
50234,5,103,98
50236,5,103,98
50238,5,103,98
50245,5,103,98
50276,5,103,98
50277,5,103,98
50278,5,103,98
50279,5,103,98
50282,5,103,98
50286,5,103,98
50287,5,103,98
50290,5,103,98
50293,5,103,98
50294,5,103,98
50298,5,103,98
50299,5,103,98
50300,5,103,98
50301,5,103,98
50302,5,103,98
50304,5,103,98
50305,5,103,98
50307,5,103,98
50309,5,103,98
50310,5,103,98
50312,5,103,98
50314,5,103,98
50316,5,103,98
50317,5,103,98
50318,5,103,98
50319,5,103,98
50322,5,103,98
50325,5,103,98
50327,5,103,98
50329,5,103,98
50330,5,103,98
50331,5,103,98
50333,5,103,98
50336,5,103,98
50337,5,103,98
50339,5,103,98
50341,5,103,98
50342,5,103,98
50343,5,103,98
50350,5,103,98
50951,5,103,98
50956,5,103,98
50967,5,103,98
50996,5,103,98
50997,5,103,98
54701,5,103,98
54702,5,103,98
54703,5,103,98
54704,5,103,98
54705,5,103,98
54706,5,103,98
54707,5,103,98
54708,5,103,98
65103,5,103,98
65104,5,103,98
65109,5,103,98
65110,5,103,98
65111,5,103,98
65115,5,103,98
65116,5,103,98
65117,5,103,98
65118,5,103,98
65119,5,103,98
65120,5,103,98
65123,5,103,98
65124,5,103,98
65126,5,103,98
65128,5,103,98
65129,5,103,98
65131,5,103,98
65133,5,103,98
65134,5,103,98
65135,5,103,98
65137,5,103,98
65138,5,103,98
65139,5,103,98
65141,5,103,98
65142,5,103,98
65143,5,103,98
65146,5,103,98
65148,5,103,98
65149,5,103,98
65151,5,103,98
65152,5,103,98
65153,5,103,98
65154,5,103,98
65155,5,103,98
65156,5,103,98
65160,5,103,98
65162,5,103,98
65163,5,103,98
65164,5,103,98
65165,5,103,98
65167,5,103,98
65170,5,103,98
65171,5,103,98
65172,5,103,98
65174,5,103,98
65175,5,103,98
16001,26,81,77
16002,26,81,77
16003,26,81,77
16004,26,81,77
16006,26,81,77
16007,26,81,77
16089,26,81,77
16090,26,81,77
16091,26,81,77
16092,26,81,77
16093,26,81,77
16094,26,81,77
16095,26,81,77
16096,26,81,77
16097,26,81,77
16098,26,81,77
16099,26,81,77
16100,26,81,77
16101,26,81,77
16102,26,81,77
16103,26,81,77
16104,26,81,77
16105,26,81,77
16106,26,81,77
16109,26,81,77
16120,26,81,77
16121,26,81,77
16122,26,81,77
16123,26,81,77
16124,26,81,77
16125,26,81,77
16126,26,81,77
16127,26,81,77
16128,26,81,77
16129,26,81,77
16130,26,81,77
16131,26,81,77
16132,26,81,77
16133,26,81,77
16134,26,81,77
16139,26,81,77
16140,26,81,77
16141,26,81,77
16158,26,81,77
16159,26,81,77
16160,26,81,77
16161,26,81,77
16162,26,81,77
16163,26,81,77
16164,26,81,77
16165,26,81,77
16166,26,81,77
16167,26,81,77
16168,26,81,77
16169,26,81,77
