Line_descr,Line_encoding,Direction,Stop_id,Stop_encoding,Stop_order,Stop_descr,Stop_lat,Stop_lon
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,61004,58,13,ΟΜΟΝΟΙΑ,37.9840598,23.7289109
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60275,59,14,ΔΗΜΑΡΧΕΙΟ,37.9825827,23.7275156
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60410,90,14,ΜΟΝΑΣΤΗΡΑΚΙ,37.9767401,23.7254378
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60411,91,15,ΒΟΡΕΟΥ,37.9776075,23.7264956
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60300,60,15,ΑΓΟΡΑ,37.9794623,23.7266846
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60301,61,16,ΜΟΝΑΣΤΗΡΑΚΙ,37.9770905,23.7260785
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60412,92,16,ΑΓΟΡΑ,37.9796974,23.7269911
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60413,93,17,ΔΗΜΑΡΧΕΙΟ,37.9813974,23.7274338
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60341,62,17,ΣΤ. ΗΣΑΠ ΘΗΣΕΙΟ,37.9773953,23.7215229
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60134,94,18,ΠΛ. ΟΜΟΝΟΙΑΣ,37.9833682,23.7279031
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60282,63,18,ΘΕΡΜΟΠΥΛΩΝ,37.9806,23.7198824
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60118,24,19,ΠΛ. ΛΑΥΡΙΟΥ,37.9858267,23.7285925
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60283,64,19,ΠΑΛΑΙΑ ΑΓΟΡΑ,37.9782368,23.7153596
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60065,25,20,ΠΑΤΗΣΙΩΝ,37.9900089,23.73032
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60394,65,20,ΙΚΑ,37.975641,23.7116578
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60034,95,21,ΑΓ. ΒΑΣΙΛΕΙΟΣ,37.9905888,23.7339583
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60395,66,21,ΤΑΧΥΔΡΟΜΕΙΟ,37.972961,23.7103362
