stop_id;stop_descr;stop_street;stop_url;stop_code
200013;10η ΖΩΓΡΑΦΟΥ;ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ;http://telematics.oasa.gr/#stationInfo_200013;200013
200014;9η ΖΩΓΡΑΦΟΥ;ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ;http://telematics.oasa.gr/#stationInfo_200014;200014
200018;ΤΣΙΤΟΥΡΑ;ΛΕΩΦ.ΣΤΡ\ΧΟΥ ΠΑΠΑΓΟΥ;http://telematics.oasa.gr/#stationInfo_200018;200018
200020;ΙΚΑ;ΛΕΩΦ.ΣΤΡ\ΧΟΥ ΠΑΠΑΓΟΥ;http://telematics.oasa.gr/#stationInfo_200020;200020
200029;ΙΚΑ;ΠΑΠΑΔΙΑΜΑΝΤΟΠΟΥΛΟΥ;http://telematics.oasa.gr/#stationInfo_200029;200029
200030;ΓΙΑΝΝΟΠΟΥΛΟΥ;ΠΑΠΑΔΙΑΜΑΝΤΟΠΟΥΛΟΥ;http://telematics.oasa.gr/#stationInfo_200030;200030
200031;ΑΓ.ΘΩΜΑΣ;ΠΑΠΑΔΙΑΜΑΝΤΟΠΟΥΛΟΥ;http://telematics.oasa.gr/#stationInfo_200031;200031
200038;2η ΙΛΙΣΙΩΝ;ΛΕΩΦ.ΓΡΗΓ.ΑΥΞΕΝΤΙΟΥ;http://telematics.oasa.gr/#stationInfo_200038;200038
200040;4η ΙΛΙΣΙΩΝ;ΛΕΩΦ.ΓΡΗΓ.ΑΥΞΕΝΤΙΟΥ;http://telematics.oasa.gr/#stationInfo_200040;200040
200042;6η ΙΛΙΣΙΩΝ;ΜΟΥΣΚΟΥ;http://telematics.oasa.gr/#stationInfo_200042;200042
200043;7η ΙΛΙΣΙΩΝ;ΕΘΝ.ΑΝΤΙΣΤΑΣΕΩΣ;http://telematics.oasa.gr/#stationInfo_200043;200043
200048;4η ΙΛΙΣΙΩΝ;ΛΕΩΦ.ΓΡΗΓ.ΑΥΞΕΝΤΙΟΥ;http://telematics.oasa.gr/#stationInfo_200048;200048
200050;2η ΙΛΙΣΙΩΝ;ΛΕΩΦ.ΓΡΗΓ.ΑΥΞΕΝΤΙΟΥ;http://telematics.oasa.gr/#stationInfo_200050;200050
200052;ΑΛΕΞ;ΠΑΠΑΔΙΑΜΑΝΤΟΠΟΥΛΟΥ;http://telematics.oasa.gr/#stationInfo_200052;200052
200058;3η ΙΛΙΣΙΩΝ;ΛΕΩΦ.ΓΡΗΓ.ΑΥΞΕΝΤΙΟΥ;http://telematics.oasa.gr/#stationInfo_200058;200058
200059;3η ΙΛΙΣΙΩΝ;ΛΕΩΦ.ΓΡΗΓ.ΑΥΞΕΝΤΙΟΥ;http://telematics.oasa.gr/#stationInfo_200059;200059
200065;2η ΖΩΓΡΑΦΟΥ;ΛΕΩΦ.ΣΤΡ\ΧΟΥ ΠΑΠΑΓΟΥ;http://telematics.oasa.gr/#stationInfo_200065;200065
200066;ΙΚΑ;ΛΕΩ. ΓΕΩΡ.ΠΑΠΑΝΔΡΕΟΥ;http://telematics.oasa.gr/#stationInfo_200066;200066
200073;ΥΠΕΡΑΓΟΡΑ;ΟΥΛΩΦ ΠΑΛΜΕ;http://telematics.oasa.gr/#stationInfo_200073;200073
200086;ΛΑΙΚΟ ΝΟΣΟΚΟΜΕΙΟ;ΛΕΩΦ.ΓΕΩΡ.ΠΑΠΑΝΔΡΕΟΥ;http://telematics.oasa.gr/#stationInfo_200086;200086
210022;ΠΑΠΑΓΟΥ;ΑΛ.ΠΑΝΑΓΟΥΛΗ;http://telematics.oasa.gr/#stationInfo_210022;210022
210026;ΓΙΩΡΓΟΥ;ΔΗΜΟΚΡΑΤΙΑΣ;http://telematics.oasa.gr/#stationInfo_210026;210026
230008;ΦΑΡΜΑΚΕΙΟ;ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ;http://telematics.oasa.gr/#stationInfo_230008;230008
230009;ΠΑΝΑΓΙΤΣΑ;ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ;http://telematics.oasa.gr/#stationInfo_230009;230009
230011;9η ΚΑΙΣΑΡΙΑΝΗΣ;ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ;http://telematics.oasa.gr/#stationInfo_230011;230011
230012;10η ΚΑΙΣΑΡΙΑΝΗΣ;ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ;http://telematics.oasa.gr/#stationInfo_230012;230012
230016;11η ΚΑΙΣΑΡΙΑΝΗΣ;ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ;http://telematics.oasa.gr/#stationInfo_230016;230016
230017;10η ΚΑΙΣΑΡΙΑΝΗΣ;ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ;http://telematics.oasa.gr/#stationInfo_230017;230017
230018;9η ΚΑΙΣΑΡΙΑΝΗΣ;ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ;http://telematics.oasa.gr/#stationInfo_230018;230018
230019;8η ΚΑΙΣΑΡΙΑΝΗΣ;ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ;http://telematics.oasa.gr/#stationInfo_230019;230019
230020;ΠΑΝΑΓΙΤΣΑ;ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ;http://telematics.oasa.gr/#stationInfo_230020;230020
230021;ΦΑΡΜΑΚΕΙΟ;ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ;http://telematics.oasa.gr/#stationInfo_230021;230021
230025;2η ΣΧΟΛΕΙΟ;ΕΥΦΡΟΝΙΟΥ;http://telematics.oasa.gr/#stationInfo_230025;230025
230031;ΔΗΜΑΡΧΕΙΟ;ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ;http://telematics.oasa.gr/#stationInfo_230031;230031
230035;ΑΓ. ΝΙΚΟΛΑΟΣ;ΥΜΗΤΤΟΥ;http://telematics.oasa.gr/#stationInfo_230035;230035
230036;ΠΑΛ. ΤΕΡΜΑ;ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ;http://telematics.oasa.gr/#stationInfo_230036;230036
240028;ΑΓ.ΠΑΝΤΩΝ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240028;240028
240029;ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΥ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240029;240029
240030;ΔΑΒΑΚΗ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240030;240030
240031;ΣΚΡΑ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240031;240031
240032;ΣΠΑΡΤΗΣ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240032;240032
240033;9η ΚΑΛΛΙΘΕΑΣ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240033;240033
240042;10η ΚΑΛΛΙΘΕΑΣ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240042;240042
240043;9η ΚΑΛΛΙΘΕΑΣ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240043;240043
240044;ΣΠΑΡΤΗ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240044;240044
240045;ΣΚΡΑ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240045;240045
240046;ΔΑΒΑΚΗ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240046;240046
240047;ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΥ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240047;240047
240048;ΑΓ.ΠΑΝΤΩΝ;ΔΗΜΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_240048;240048
240050;ΚΑΡΑΓΙΑΝΝΗ;ΕΛ.ΒΕΝΙΖΕΛΟΥ;http://telematics.oasa.gr/#stationInfo_240050;240050
240051;ΔΗΜΟΤΙΚΟΥ ΣΤΑΔΙΟΥ;ΕΛ.ΒΕΝΙΖΕΛΟΥ;http://telematics.oasa.gr/#stationInfo_240051;240051
